Item Number,Brand,Processor,GPU,Type,Maximum Resolution,Model,OS,Storage Type,Features,Price,SSD Capacity (GB),RAM Size (GB),Hard Drive Capacity (GB),Screen Size (in),Processor Speed (GHz)
85264981137,HP,Intel Pentium,Intel UHD Graphics 605,Notebook/Laptop,1366 x 768,Samsung ChromeBook,Chrome OS,SSD,"Bluetooth, Built-in Webcam, Wi-Fi, Built-in Microphone",140.0,64.0,4.0,64.0,14.0,1.1
85264981580,Dell,Intel Core i7 8th Gen.,Intel HD Graphics 620,Notebook/Laptop,1920 x 1080,Dell Latitude 7490,Windows 11 Pro,SSD,"10/100 LAN Card, Backlit Keyboard, Bluetooth, Built-in Microphone, Built-in Webcam, Wi-Fi",369.99,1024.0,32.0,1024.0,14.0,1.9
85264981597,HP,Intel Pentium,Intel UHD Graphics,Notebook/Laptop,1600 x 900,17b,Windows 11,SSD,Touchscreen,444.18,256.0,12.0,256.0,17.3,3.5
85264981604,Microsoft,Intel Core i5 10th Gen.,Intel HD Graphics,Notebook/Laptop,2256 x 1504,Microsoft Surface Laptop 3,Windows 10 Pro,SSD,"Bluetooth, Built-in Microphone, Built-in Webcam, Touchscreen",259.84,256.0,8.0,256.0,13.5,1.5
85264981605,HP,Intel Core i7 8th Gen.,Intel UHD Graphics 620,Notebook/Laptop,1920 x 1080,Elitebook 840 G5,Windows 11 Pro,SSD,"Bluetooth, Built-in Webcam, Wi-Fi, Spill-Resistant Keyboard, Backlit Keyboard, Touch ID",172.0,256.0,8.0,256.0,14.0,1.9
85264981614,ASUS,Intel Core i3 11th Gen.,Intel UHD Graphics,Notebook/Laptop,1920 x 1080,Asus VivoBook Flip 14,Windows 11 Home,SSD,"Touchscreen, Bluetooth, Built-in Webcam, Wi-Fi, Convertible 2-in-1 Laptop/Tablet",289.49,256.0,8.0,256.0,14.0,3.0
85264981621,Lenovo,i7-8550U,Intel UHD Graphics 620,Thinkpad,1920 x 1080,Lenovo ThinkPad T480s,Windows 11 Pro,SSD,"10/100 LAN Card, Backlit Keyboard, Bluetooth, Built-in Microphone, Built-in Webcam",399.99,1024.0,24.0,1024.0,14.0,1.8
85264981785,Panasonic,Intel Core i5 7th Gen.,Intel HD Graphics,Notebook/Laptop,0,Panasonic Toughbook CF-54,Windows 10,SSD,"Backlit Keyboard,  Bluetooth,  Built-in Microphone,  Built-in Webcam,  LTE,  DVD",529.99,1024.0,16.0,1024.0,14.0,2.6
85264982124,Dell,Intel Core i5-1135G7,Intel UHD Graphics,Notebook/Laptop,1920 x 1080,Dell Inspiron 15 3520,Windows 11 Home,SSD,"Bluetooth,  Built-in Microphone,  Built-in Webcam,  Touchscreen,  Wi-Fi",599.0,1024.0,16.0,1024.0,15.6,2.4
85264982133,HP,Intel Core i7 8th Gen.,Nvidia Quadro P3200,Notebook/Laptop,1920 x 1080,HP Zbook 17 G5,Windows 10 Pro,SSD,"10/100 LAN Card,  Backlit Keyboard,  Bluetooth,  Built-in Webcam,  Widescreen Display,  Wi-Fi",524.95,512.0,64.0,512.0,17.3,2.6
